_id/$oid,nombre,categoria,marca,presentacion,id
5cbc69be7af152186c0cd6f0,Jabon Liquido Ropa Rosas y Lilas en Doypack Drive 3 Lt,Limpieza,DRIVE,3.0 lt,7791290009479
5cbc69be7af152186c0cd62e,Jeringa en Gel Mata Cucarachas Raid 3 Gr,Limpieza,RAID,3.0 gr,7790520986160
5cbc69be7af152186c0cd7c9,Lavandina Multisuperficies Lavanda Ayudin 1 Lt,Limpieza,AYUDÍN,1.0 lt,7793253001377
5cbc69be7af152186c0cd7ca,Lavandina Multisuperficies Lavanda Ayudin 2 Lt,Limpieza,AYUDÍN,2.0 lt,7793253001384
5cbc69be7af152186c0cd7c7,Lavandina Multisuperficies Original Ayudin 1 Lt,Limpieza,AYUDÍN,1.0 lt,7793253001353
5cbc69be7af152186c0cd7c8,Lavandina Multisuperficies Original Ayudin 2 Lt,Limpieza,AYUDÍN,2.0 lt,7793253001360
5cbc69be7af152186c0cd7cb,Lavandina Pureza Glaciar Ayudin 2 Lt,Limpieza,AYUDÍN,2.0 lt,7793253001414
5cbc69be7af152186c0cd6f8,Lavavajilla Cif Limon Active Gel Doypack 450 Ml,Limpieza,CIF,450.0 ml,7791290010574
5cbc69be7af152186c0cd6f4,Limpiador Antigrasa Nueva Formula Gatillo Cif 500 Ml,Limpieza,CIF,500.0 ml,7791290010277
5cbc69be7af152186c0cd6eb,Limpiador Baño Repuesto Economico Doypack Cif 450 Ml,Limpieza,CIF,450.0 ml,7791290007406
5cbc69be7af152186c0cd61b,Limpiador Continuo Repuesto Original Lysoform 50 Ml,Limpieza,LYSOFORM,50.0 ml,7790520010261
5cbc69be7af152186c0cd620,Limpiador de Cocina Mr Musculo Advance Total 450 Ml,Limpieza,MR MÚSCULO,450.0 ml,7790520012432
5cbc69be7af152186c0cd6f2,Limpiador en Gel con Lavandina Limpieza Facil Cif Ultra Blanco 500 Ml,Limpieza,CIF,500.0 ml,7791290010208
5cbc69be7af152186c0cd62d,Limpiador Horno Aerosol Mr Musculo 360 Cc,Limpieza,MR MÚSCULO,360.0 cc,7790520981967
5cbc69be7af152186c0cd6f3,Limpiador Liquido Antigrasa Nueva Formula Doypack Cif 450 Ml,Limpieza,CIF,450.0 ml,7791290010222
5cbc69be7af152186c0cd62f,Limpiador Liquido Doypack Lysoform 800 Cc,Limpieza,LYSOFORM,800.0 cc,7790520987440
5cbc69be7af152186c0cd628,Limpiador Liquido Lavanda Lysoform 900 Ml,Limpieza,LYSOFORM,900.0 ml,7790520016317
5cbc69be7af152186c0cd6da,Limpiador Liquido Lavanda Procenex 900 Cc,Limpieza,PROCENEX,900.0 cc,7791130683524
5cbc69be7af152186c0cd6db,Limpiador Liquido Original Procenex 900 Cc,Limpieza,PROCENEX,900.0 cc,7791130683753
5cbc69be7af152186c0cd6de,Limpiador Liquido Pisos Limon Procenex 1.8 Lt,Limpieza,PROCENEX,1.8 lt,7791130683791
5cbc69be7af152186c0cd6dd,Limpiador Liquido Pisos Marina Procenex 1.8 Lt,Limpieza,PROCENEX,1.8 lt,7791130683784
5cbc69be7af152186c0cd6e8,Limpiador Liquido Pisos Plastificados Cif 750 Cc,Limpieza,CIF,750.0 cc,7791290003514
5cbc69be7af152186c0cd6ec,Limpiador Mulituso de Vidrios Repuesto Economico Cif 450 Ml,Limpieza,CIF,450.0 ml,7791290007505
5cbc69be7af152186c0cd6d9,Limpiador para Inodoros Original Harpic 500 Ml,Limpieza,HARPIC,500.0 ml,7791130681391
5cbc69be7af152186c0cd6ea,Limpiador para pisos Oxy Gel Cif 750 Cc,Limpieza,CIF,750.0 cc,7791290007260
5cbc69be7af152186c0cd6dc,Limpiador Pisos Lavanda Procenex 1.8 Lt,Limpieza,PROCENEX,1.8 lt,7791130683760
